n,p,k,ec_aktual,kelembapan_udara,kelembapan_tanah,suhu,fase,usia_hst,target_ec,vpd
219.57,47.88,192.26,1.649,90.36,47.57,29.14,0,23,1.89,0.3893
185.52,56.46,186.35,1.594,90.44,52.41,26.72,0,34,1.73,0.3353
215.05,53.63,177.4,1.51,89.58,73.62,24.69,0,44,1.88,0.324
229.97,64.65,172.7,1.659,76.9,68.43,28.42,0,25,1.59,0.8947
183.73,62.23,169.9,1.613,80.41,32.68,27.83,0,18,1.59,0.7332
147.16,67.34,230.28,2.091,80.4,36.46,31.28,1,105,1.93,0.8947
136.66,62.3,254.87,2.198,78.8,76.54,28.37,1,84,1.97,0.8188
238.33,46.55,153.54,1.54,84.74,31.64,28.49,0,39,1.53,0.5935
179.45,50.64,284.52,1.951,86.77,80.6,27.04,1,109,1.97,0.4728
238.33,54.63,201.61,1.439,86.45,44.95,26.37,0,7,1.73,0.4655
186.62,59.73,200.77,1.663,89.42,62.91,25.78,0,41,1.81,0.351
208.27,51.25,199.08,1.523,76.92,61.05,28.95,0,41,1.65,0.9218
193.96,42.58,163.28,1.641,90.49,51.79,24.08,0,37,1.78,0.2851
129.99,57.93,298.8,2.14,77.2,31.73,29.8,1,96,1.53,0.9564
136.97,57.73,225.25,1.918,74.65,40.59,31.27,1,128,2.1,1.1565
181.78,59.55,195.59,1.543,84.39,63.82,28.63,0,18,1.51,0.612
180.67,57.51,150.11,1.722,90.19,54.55,25.98,0,24,1.78,0.3294
200.39,42.21,177.57,1.685,83.81,52.76,29.04,0,34,1.6,0.65
190.03,55.53,150.64,1.672,82.87,35.37,27.48,0,19,1.6,0.6282
224.12,61.85,166.84,1.553,87.4,49.09,24.05,0,36,1.69,0.3771
226.47,57.43,176.15,1.428,81.77,58.95,29.35,0,23,1.6,0.7451
176.97,64.17,225.7,1.915,74.22,34.27,30.72,1,85,1.87,1.1399
179.41,54.6,242.25,1.879,75.45,33.67,28.71,1,56,1.87,0.967
226.12,62.18,171.75,1.67,84.63,57.04,24.98,0,21,1.88,0.4863
128.51,73.91,272.12,2.034,85.01,60.87,25.43,1,73,1.85,0.4871
205.13,61.38,199.04,1.528,83.44,44.17,26.79,0,22,1.54,0.5832
215.92,59.57,167.98,1.549,88.3,47.92,25.09,0,26,1.74,0.3726
214.94,60.41,186.9,1.657,79.53,73.83,29.88,0,31,1.61,0.8626
139.0,63.82,287.43,1.962,83.11,77.81,30.23,1,60,1.7,0.7262
139.61,69.09,241.74,1.93,79.46,47.89,30.36,1,77,1.99,0.8897
175.06,76.38,292.98,2.237,91.53,49.56,27.88,1,126,1.87,0.3179
187.62,45.14,201.14,1.534,84.68,75.67,25.8,0,31,1.67,0.5089
131.64,58.3,232.39,2.08,95.0,83.56,22.1,1,81,2.1,0.133
238.32,44.75,163.46,1.647,86.07,47.63,25.76,0,39,1.86,0.4616
162.04,55.26,270.23,1.817,82.59,73.38,26.49,1,54,1.63,0.6024
199.28,52.54,187.51,1.519,77.14,56.38,28.74,0,44,1.65,0.902
231.14,40.71,193.2,1.698,75.93,44.51,27.07,0,34,1.64,0.8617
172.8,64.45,252.4,1.984,76.32,67.5,29.14,1,52,2.03,0.9562
127.26,70.97,278.82,1.824,76.67,55.44,29.37,1,141,1.7,0.9547
194.1,58.71,197.94,1.647,85.59,44.75,26.54,0,30,1.58,0.5001
163.53,70.07,281.72,1.93,81.1,35.9,26.41,1,89,1.61,0.6509
227.45,45.67,199.89,1.652,83.54,77.68,27.66,0,38,1.66,0.61
146.9,63.17,226.4,2.323,87.48,78.33,29.37,1,61,1.98,0.5123
121.03,76.92,243.42,2.046,82.66,34.12,27.11,1,111,1.87,0.6222
123.63,70.76,295.19,2.073,95.0,66.49,25.04,1,119,1.9,0.1588
127.14,60.82,237.87,1.97,74.05,38.94,30.64,1,49,1.89,1.1421
195.6,40.9,198.32,1.466,81.42,65.55,28.14,0,35,1.59,0.7081
249.21,45.83,160.33,1.723,82.67,79.92,24.6,0,20,1.68,0.536
145.56,73.75,226.9,1.927,86.16,44.31,28.91,1,82,1.96,0.5515
222.05,59.32,194.43,1.572,73.38,49.14,25.47,0,31,1.66,0.8672
226.0,54.24,181.96,1.815,78.28,73.73,24.45,0,43,1.65,0.6658
209.33,46.77,190.9,1.559,82.61,70.45,27.06,0,24,1.53,0.6222
213.25,50.13,167.57,1.746,95.0,52.48,21.15,0,10,1.76,0.1255
150.68,53.93,261.25,2.046,82.43,76.67,29.11,1,63,1.7,0.7083
225.17,63.83,151.75,1.534,77.21,80.63,26.15,0,39,1.6,0.7729
152.13,61.11,254.08,2.041,75.5,54.9,28.91,1,132,1.97,0.9763
188.98,41.64,206.67,1.514,92.68,32.17,25.76,0,25,1.75,0.2426
180.51,44.16,162.68,1.709,83.39,58.02,23.34,0,39,1.81,0.4763
188.75,54.53,158.85,1.75,80.41,70.68,24.86,0,21,1.6,0.6154
246.93,45.81,151.09,1.606,90.33,42.1,27.28,0,29,1.86,0.3505
233.49,63.36,163.88,1.761,87.66,35.47,27.66,0,35,1.66,0.4573
178.33,57.51,278.69,2.019,85.74,45.69,31.26,1,112,1.67,0.6502
182.5,46.83,164.47,1.71,76.82,30.64,28.81,0,36,1.48,0.9184
143.0,75.21,238.21,2.354,71.9,69.35,31.09,1,102,1.73,1.2689
183.1,59.99,194.97,1.897,85.66,38.03,25.01,0,19,1.7,0.4545
234.74,50.6,154.86,1.578,85.83,69.8,25.94,0,34,1.83,0.4746
160.81,59.28,224.01,2.035,82.67,42.9,29.62,1,109,1.94,0.7194
186.7,47.17,181.24,1.474,91.24,84.56,26.28,0,18,1.75,0.2994
219.76,43.57,157.93,1.696,72.98,59.25,28.72,0,19,1.6,1.0649
199.61,56.88,194.37,1.647,86.71,32.27,27.87,0,9,1.72,0.4986
226.17,51.26,155.16,1.507,75.64,72.5,29.3,0,35,1.59,0.9928
120.43,55.46,293.71,2.142,85.79,52.55,28.88,1,54,1.68,0.5653
229.35,43.44,158.95,1.568,78.85,63.4,29.19,0,18,1.67,0.8565
133.68,76.64,262.82,1.937,80.13,82.32,25.89,1,133,1.67,0.6636
161.0,61.8,299.52,2.048,75.62,58.45,32.03,1,133,1.78,1.1612
212.57,47.1,174.68,1.544,76.46,74.24,26.46,0,22,1.57,0.8131
170.54,67.57,294.2,1.996,82.06,46.65,28.49,1,56,1.73,0.6977
220.49,44.58,162.96,1.81,77.13,69.3,29.45,0,34,1.57,0.9402
143.58,51.92,243.16,1.926,86.27,35.46,27.95,1,70,1.88,0.5175
239.02,58.62,191.82,1.681,86.46,79.13,26.94,0,23,1.77,0.4811
158.64,76.13,255.13,1.93,91.63,40.99,27.01,1,54,2.24,0.2986
191.96,46.76,197.68,1.483,85.72,46.61,26.23,0,13,1.88,0.4866
187.15,43.05,188.69,1.59,88.63,82.7,23.86,0,42,1.81,0.3364
140.07,58.82,268.29,2.322,89.68,38.54,27.58,1,74,1.75,0.3807
173.05,73.09,232.53,2.094,78.67,43.99,28.55,1,91,2.03,0.8324
183.85,41.88,161.87,1.655,75.92,61.91,26.82,0,7,1.67,0.8495
210.97,42.87,164.38,1.537,82.57,83.94,28.81,0,30,1.64,0.6906
130.06,57.67,253.71,1.954,75.8,68.03,27.32,1,135,1.93,0.8791
125.31,78.55,271.85,1.822,93.19,36.28,29.53,1,149,1.77,0.2813
132.14,71.89,292.47,2.215,86.72,71.15,31.18,1,133,1.66,0.6028
126.16,54.01,289.59,2.032,94.09,53.44,26.92,1,124,1.9,0.2097
151.26,52.79,265.35,2.022,82.42,84.58,28.21,1,51,1.73,0.6727
179.29,75.28,259.03,2.024,83.69,64.58,29.51,1,74,2.06,0.6728
201.73,51.61,200.42,1.851,81.84,59.26,25.96,0,17,1.62,0.609
202.3,44.44,150.53,1.636,90.84,60.65,23.41,0,12,1.88,0.2638
143.16,55.88,270.03,1.977,74.67,65.29,29.72,1,119,1.79,1.0576
140.38,64.41,221.85,2.216,66.99,70.25,30.88,1,149,1.87,1.4729
223.15,59.03,202.35,1.584,77.12,34.31,29.36,0,38,1.47,0.9357
245.61,58.6,178.16,1.397,76.84,37.19,25.98,0,26,1.53,0.7776
121.14,55.08,296.38,1.817,89.85,46.53,27.82,1,53,1.93,0.3797
213.08,42.97,203.24,1.577,92.24,56.29,27.04,0,28,1.89,0.2773
194.94,47.02,203.41,1.635,77.02,47.11,26.07,0,35,1.76,0.7757
232.88,52.63,157.71,1.699,92.23,41.76,24.14,0,43,1.78,0.2338
189.85,61.74,178.51,1.49,85.76,80.88,29.44,0,19,1.61,0.5851
214.38,64.21,209.62,1.573,76.92,31.79,25.26,0,21,1.51,0.7425
209.49,55.94,158.94,1.503,85.01,81.63,22.82,0,41,1.86,0.4166
226.08,48.77,184.45,1.734,78.36,79.9,29.16,0,31,1.6,0.8749
137.89,62.23,251.5,2.154,88.83,67.61,24.9,1,138,2.24,0.3517
246.26,48.41,173.27,1.835,78.6,31.79,25.28,0,18,1.5,0.6893
128.08,72.73,237.21,2.042,82.52,42.39,27.2,1,118,1.93,0.6306
164.56,51.73,226.28,2.224,78.66,83.85,28.23,1,88,2.0,0.8175
236.81,46.67,195.53,1.517,88.34,79.83,23.92,0,10,1.81,0.3463
173.01,66.54,271.02,2.026,79.8,83.05,29.57,1,124,1.72,0.8362
211.71,50.5,181.74,1.473,79.33,84.79,28.33,0,37,1.66,0.7965
130.3,58.27,248.53,2.069,80.58,33.51,28.72,1,83,1.88,0.7654
222.13,59.72,208.24,1.634,93.94,61.4,26.38,0,30,1.75,0.2083
130.6,53.86,237.63,1.706,81.9,75.88,26.13,1,71,2.08,0.6131
154.06,79.22,223.24,2.133,78.24,47.58,26.73,1,146,1.98,0.7636
212.62,42.19,179.24,1.703,86.23,53.96,26.88,0,25,1.81,0.4875
218.0,52.33,159.79,1.533,84.35,45.61,24.93,0,42,1.81,0.4937
177.09,59.34,220.24,2.034,76.26,32.09,26.85,1,127,1.83,0.839
170.63,65.27,223.51,1.821,91.69,34.0,29.96,1,118,2.18,0.3518
225.29,46.66,170.42,1.508,80.16,31.18,28.43,0,25,1.52,0.7689
178.45,72.09,253.62,2.2,79.02,59.0,29.55,1,141,2.04,0.8675
223.29,47.84,163.49,1.461,80.5,64.01,30.89,0,42,1.67,0.8706
125.83,51.16,234.23,2.001,91.23,46.92,27.69,1,62,2.2,0.3256
228.39,62.49,181.42,1.432,75.25,75.44,26.5,0,43,1.64,0.8569
142.85,78.32,295.11,2.041,83.92,78.84,27.73,1,98,1.71,0.5983
180.97,61.91,194.57,1.668,89.83,37.69,31.23,0,29,1.75,0.4629
212.71,40.82,169.96,1.687,86.88,32.86,23.62,0,44,1.69,0.3826
232.0,47.86,190.32,1.656,77.88,47.57,26.05,0,26,1.68,0.7458
214.93,58.17,202.95,1.771,84.84,69.21,21.74,0,10,1.75,0.3945
234.57,45.54,155.16,1.534,84.34,57.91,26.89,0,44,1.67,0.5547
211.56,44.96,209.34,1.473,89.65,56.84,27.23,0,11,1.88,0.374
128.21,65.37,262.45,1.93,82.08,38.38,26.36,1,118,1.62,0.6153
200.5,55.4,153.2,1.438,88.96,49.33,25.19,0,32,1.8,0.3537
186.45,64.73,168.84,1.609,80.16,82.74,22.4,0,7,1.67,0.5375
210.1,43.37,203.17,1.583,75.76,48.73,27.25,0,21,1.65,0.877
217.92,48.9,185.77,1.657,78.62,62.53,29.41,0,22,1.56,0.8769
204.44,47.78,167.23,1.406,91.9,33.21,25.32,0,29,1.73,0.2615
196.96,62.0,206.43,1.598,83.2,33.51,27.38,0,28,1.49,0.6125
227.04,46.38,197.24,1.746,87.92,53.33,23.36,0,11,1.83,0.3468
206.4,48.84,194.13,1.669,84.22,63.23,27.41,0,11,1.64,0.5763
224.2,43.57,203.31,1.373,89.9,50.48,25.71,0,12,1.77,0.3337
144.34,70.87,296.62,1.999,78.07,39.85,29.31,1,97,1.54,0.8943
233.27,45.94,167.2,1.512,88.46,70.48,24.98,0,16,1.78,0.3651
206.27,41.71,185.03,1.602,80.2,37.7,25.71,0,42,1.57,0.6542
175.04,54.9,283.72,1.954,91.86,66.74,28.39,1,66,1.91,0.3147
211.48,49.79,160.85,1.809,82.01,82.62,23.88,0,29,1.67,0.533
136.35,75.18,290.21,2.01,77.85,55.88,28.04,1,62,1.79,0.8392
241.51,43.34,159.54,1.638,86.47,41.02,26.42,0,43,1.81,0.4662
164.22,62.97,281.59,1.995,81.52,76.31,29.31,1,70,1.73,0.7536
129.25,78.43,273.39,2.057,83.55,57.8,28.43,1,119,1.75,0.6375
191.73,42.48,200.26,1.574,86.32,80.78,24.79,0,11,1.7,0.428
121.58,50.1,258.81,2.093,82.27,69.63,21.97,1,64,2.17,0.4679
219.5,63.82,159.08,1.553,93.48,53.68,24.54,0,35,1.8,0.2009
225.98,42.13,192.33,1.765,84.88,63.96,30.1,0,17,1.66,0.6452
167.36,69.87,277.31,2.06,86.37,39.35,31.02,1,55,1.53,0.613
130.35,59.69,253.7,1.982,79.34,51.3,28.36,1,143,2.04,0.7975
245.64,49.45,163.64,1.701,83.74,62.66,28.71,0,9,1.58,0.6405
225.64,47.35,165.04,1.659,84.28,62.45,26.9,0,9,1.63,0.5572
191.1,56.93,193.84,1.699,88.83,62.3,27.01,0,7,1.79,0.3985
220.58,57.57,169.16,1.61,90.07,70.89,25.81,0,18,1.79,0.3301
125.72,77.92,282.7,1.971,82.29,35.81,29.09,1,123,1.58,0.7131
240.95,60.76,151.35,1.616,75.45,34.05,27.18,0,38,1.49,0.8846
204.52,46.71,204.49,1.54,93.53,38.14,25.41,0,28,1.77,0.21
209.61,57.17,195.16,1.718,83.16,73.58,30.13,0,18,1.55,0.7199
221.91,43.37,178.37,1.776,82.89,33.57,23.96,0,12,1.44,0.5093
216.71,52.77,206.58,1.669,82.92,42.39,29.57,0,44,1.55,0.707
159.48,64.68,273.61,2.17,73.26,44.01,29.65,1,121,1.68,1.112
130.62,54.58,283.64,2.135,88.01,65.6,27.51,1,121,1.9,0.4404
152.62,67.1,255.83,1.968,76.24,52.09,26.56,1,113,2.01,0.8255
188.52,44.87,168.87,1.7,83.68,40.94,25.24,0,38,1.6,0.5244
157.69,63.93,238.19,1.846,80.01,54.72,31.91,1,98,1.97,0.9457
123.0,68.74,293.89,2.022,88.29,67.7,27.12,1,64,2.0,0.4204
179.33,76.08,244.14,1.858,82.18,73.23,28.72,1,46,2.04,0.7023
201.62,58.71,154.88,1.587,88.49,36.81,24.65,0,38,1.67,0.3571
229.21,44.35,171.46,1.427,85.77,69.31,23.99,0,40,1.8,0.4244
225.56,42.65,195.6,1.731,83.88,30.25,26.07,0,13,1.56,0.5441
186.37,45.99,156.03,1.553,83.38,69.84,27.27,0,19,1.58,0.602
220.41,47.85,190.33,1.709,81.44,66.36,27.91,0,12,1.59,0.6979
190.31,53.7,203.39,1.591,74.78,55.78,26.98,0,15,1.58,0.8981
197.66,62.03,160.75,1.379,81.01,37.53,25.17,0,10,1.56,0.6077
172.37,69.29,230.96,1.942,85.7,72.05,25.58,1,115,2.23,0.4689
187.65,52.97,153.08,1.536,82.18,33.95,26.75,0,34,1.47,0.6261
249.56,40.12,190.01,1.598,81.19,79.26,28.37,0,27,1.71,0.7265
173.05,53.58,286.66,2.181,81.82,72.54,26.74,1,141,1.66,0.6384
149.22,59.51,224.58,2.201,77.5,70.75,28.54,1,137,2.0,0.8776
146.33,74.97,230.25,1.972,80.11,71.49,27.7,1,146,2.07,0.7388
144.44,64.17,244.23,1.849,82.5,33.72,26.07,1,109,1.9,0.5907
210.01,44.82,151.2,1.511,84.67,84.45,25.4,0,34,1.79,0.4973
151.56,56.88,281.03,2.058,85.78,77.22,26.32,1,104,1.93,0.4871
247.03,53.62,172.37,1.587,82.26,57.94,27.04,0,43,1.61,0.634
192.1,42.22,177.66,1.411,77.21,69.57,27.93,0,22,1.56,0.8579
213.56,56.01,182.19,1.54,76.75,70.66,26.4,0,27,1.64,0.8002
184.2,59.18,182.08,1.757,95.0,75.64,26.53,0,16,1.76,0.1734
223.45,47.16,162.22,1.635,77.74,44.05,26.79,0,20,1.54,0.7839
138.0,73.78,282.89,2.006,77.05,50.46,30.95,1,119,1.72,1.0281
165.2,64.25,274.93,1.953,89.98,73.98,22.34,1,91,1.86,0.2705
126.13,60.18,236.72,1.945,84.26,72.29,27.83,1,129,2.01,0.5891
182.61,62.79,178.71,1.665,87.51,58.74,25.11,0,36,1.83,0.3983
168.07,52.74,288.73,2.017,80.77,51.79,27.24,1,97,1.72,0.6953
130.99,75.98,290.6,2.093,79.55,83.26,32.38,1,127,1.86,0.9934
225.98,49.98,183.1,1.666,84.38,52.83,26.02,0,7,1.68,0.5257
178.21,64.32,230.7,2.002,81.22,72.02,27.47,1,144,2.04,0.6883
197.59,40.03,170.95,1.646,83.94,52.7,27.54,0,27,1.63,0.591
230.53,56.26,189.11,1.529,90.87,47.04,24.34,0,8,1.85,0.278
139.24,63.57,254.35,1.994,82.99,65.25,27.11,1,96,2.01,0.6104
215.78,45.26,179.45,1.761,81.54,74.42,28.75,0,37,1.6,0.7288
244.07,58.06,197.16,1.601,91.02,83.98,24.24,0,24,1.81,0.2718
163.41,76.69,270.15,1.974,89.54,38.19,25.3,1,102,1.78,0.3373
166.64,73.9,283.06,2.025,88.57,78.19,29.83,1,91,2.01,0.4803
184.57,56.5,188.93,1.46,75.13,58.83,26.21,0,35,1.56,0.8464
188.88,63.26,188.38,1.627,92.17,35.93,22.06,0,10,1.76,0.2078
188.35,41.86,203.58,1.804,89.18,73.69,23.7,0,9,1.85,0.3171
150.97,67.44,278.09,1.903,76.4,48.23,29.63,1,65,1.74,0.9803
192.61,58.24,172.11,1.632,87.0,77.75,24.17,0,9,1.81,0.3919
242.77,56.69,154.98,1.597,89.65,38.68,25.67,0,14,1.66,0.3412
136.42,79.96,285.76,1.994,76.47,69.11,29.87,1,142,1.73,0.991
206.86,44.08,200.63,1.592,83.23,46.54,29.42,0,41,1.63,0.6882
224.17,59.61,174.35,1.686,88.53,44.15,25.92,0,18,1.93,0.3837
234.54,63.91,171.41,1.468,76.36,32.76,28.65,0,30,1.54,0.928
167.74,69.51,294.83,2.083,81.05,56.5,28.6,1,134,1.72,0.7417
191.33,64.08,154.54,1.608,82.57,51.53,29.37,0,25,1.61,0.7133
210.36,55.12,167.63,1.388,79.16,33.39,27.07,0,42,1.49,0.7461
164.15,55.45,261.8,2.046,76.29,42.47,29.79,1,86,1.72,0.994
234.65,57.26,181.12,1.614,82.15,56.8,27.42,0,24,1.64,0.6523
196.14,62.72,178.59,1.495,85.77,74.45,28.6,0,40,1.57,0.557
192.25,44.04,162.52,1.619,87.01,81.12,26.34,0,31,1.79,0.4455
244.44,60.39,182.45,1.442,76.2,58.34,29.99,0,13,1.57,1.0093
183.08,44.92,205.55,1.518,85.36,52.18,28.22,0,17,1.63,0.5605
231.43,40.69,151.63,1.604,78.45,82.51,27.64,0,44,1.67,0.7977
183.25,52.94,190.82,1.398,73.64,82.96,28.67,0,25,1.47,1.0359
238.65,47.96,187.48,1.462,81.21,40.47,27.17,0,41,1.59,0.6766
161.16,73.4,239.61,1.88,90.04,59.23,25.64,1,50,2.3,0.3277
124.66,74.4,244.56,2.01,82.29,75.15,31.65,1,131,2.05,0.8256
159.74,76.77,220.69,2.053,83.22,75.22,26.97,1,82,2.03,0.5972
174.05,77.03,249.65,1.893,78.72,67.67,29.66,1,76,1.95,0.8855
200.89,64.98,166.07,1.486,82.1,55.93,26.05,0,8,1.65,0.6035
133.0,53.69,277.97,2.017,83.38,52.2,27.4,1,56,1.71,0.6066
226.55,46.37,181.17,1.613,75.1,74.35,30.07,0,43,1.65,1.0608
175.58,78.38,276.36,1.916,82.15,42.41,26.23,1,144,1.82,0.6082
125.48,59.23,243.49,2.219,75.93,53.56,33.88,1,67,1.74,1.2718
144.84,50.26,230.55,2.022,73.24,61.18,30.56,1,131,2.08,1.1724
175.16,59.68,230.56,1.98,78.04,75.75,28.08,1,82,1.99,0.8339
132.17,61.49,236.26,1.954,85.43,50.56,26.8,1,72,2.07,0.5134
226.5,44.21,205.24,1.721,82.78,60.18,27.52,0,16,1.58,0.6329
233.57,51.05,163.85,1.665,80.65,45.35,28.12,0,28,1.56,0.7365
125.99,56.38,266.32,1.791,73.43,76.03,32.8,1,50,1.55,1.3216
196.76,61.63,210.0,1.517,86.25,73.2,32.37,0,17,1.53,0.6676
139.58,54.64,247.44,1.946,77.39,75.11,28.8,1,142,1.97,0.8953
136.93,72.78,224.22,1.999,83.14,33.16,28.46,1,125,1.87,0.6546
237.58,42.5,158.63,1.675,81.92,56.78,25.71,0,44,1.57,0.5974
149.02,69.88,231.05,1.872,82.25,37.47,28.26,1,139,1.94,0.6812
148.92,52.22,247.89,1.99,84.37,67.06,28.24,1,73,2.04,0.5991
125.29,58.6,250.36,2.204,73.27,47.13,30.42,1,74,2.0,1.1618
168.14,62.74,281.77,2.003,80.61,72.6,29.84,1,61,1.67,0.8152
207.28,62.91,167.73,1.517,91.32,33.58,24.59,0,21,1.7,0.2683
169.25,66.9,250.64,1.84,95.0,58.23,21.83,1,108,2.14,0.1308
169.48,51.36,275.67,1.942,80.61,36.8,29.16,1,117,1.54,0.7839
237.84,57.99,171.78,1.471,84.18,60.68,26.14,0,11,1.57,0.5362
183.42,40.76,195.68,1.553,93.1,63.4,28.29,0,33,1.73,0.2653
174.67,78.03,245.02,2.065,84.61,55.42,31.74,1,145,2.01,0.7211
225.02,52.49,173.16,1.604,81.04,45.38,25.97,0,33,1.64,0.6362
126.44,64.64,258.67,1.942,79.27,31.78,27.92,1,127,1.91,0.7799
162.1,52.17,253.94,1.785,87.82,66.42,27.18,1,128,2.15,0.4389
224.2,63.28,173.82,1.7,82.89,77.87,21.73,0,41,1.78,0.445
121.67,64.92,287.13,1.958,87.1,70.35,28.71,1,118,1.75,0.5081
151.55,62.31,230.66,2.013,80.1,79.12,32.3,1,71,2.07,0.9624
223.33,50.99,173.14,1.491,82.52,81.12,30.63,0,33,1.55,0.7689
181.24,54.08,197.43,1.551,82.08,54.73,26.82,0,31,1.63,0.6322
224.43,62.9,189.93,1.53,79.03,68.39,28.14,0,40,1.57,0.7991
226.58,62.3,187.89,1.44,91.31,51.86,26.11,0,33,1.87,0.294
123.82,67.17,230.2,1.891,84.06,80.57,24.68,1,105,2.27,0.4954
221.87,46.43,151.75,1.598,78.59,60.96,29.83,0,27,1.48,0.8996
142.3,54.32,236.1,2.036,81.59,71.38,28.35,1,64,1.96,0.7102
198.25,45.07,202.95,1.518,83.87,30.8,27.33,0,31,1.53,0.5863
212.41,64.13,150.97,1.456,74.65,61.66,30.77,0,10,1.49,1.124
154.65,69.69,271.88,1.957,81.08,70.81,26.21,1,60,1.78,0.6439
146.15,68.2,247.07,2.094,78.75,44.14,28.52,1,115,2.03,0.8279
224.09,42.21,153.05,1.487,89.01,30.79,25.24,0,17,1.63,0.3531
182.47,50.19,175.06,1.602,79.28,70.9,26.44,0,34,1.66,0.7148
185.45,55.87,188.64,1.521,74.81,48.59,26.57,0,9,1.66,0.8757
185.69,57.24,205.14,1.735,77.81,53.58,22.06,0,24,1.63,0.5888
128.27,67.95,250.7,1.939,73.57,60.91,29.53,1,48,2.03,1.0916
204.52,54.83,201.4,1.679,92.43,36.06,24.31,0,21,1.75,0.2301
195.93,46.28,157.29,1.722,82.25,35.7,28.14,0,14,1.45,0.6764
232.31,62.23,162.63,1.785,84.59,82.85,28.24,0,20,1.61,0.5907
131.37,59.46,237.82,1.838,84.67,48.64,28.35,1,73,1.96,0.5914
154.21,64.47,228.97,1.832,82.82,44.05,27.74,1,78,2.06,0.6396
210.17,60.66,164.11,1.74,83.57,32.63,26.17,0,16,1.5,0.5579
140.71,68.54,234.69,2.12,87.23,39.57,28.32,1,143,1.99,0.4918
220.98,55.93,171.76,1.526,84.36,53.7,26.52,0,11,1.53,0.5421
203.65,47.05,178.12,1.212,90.54,48.81,26.62,0,28,1.8,0.3298
147.68,65.14,289.46,2.01,85.83,53.35,27.53,1,110,1.67,0.5211
145.03,62.73,265.43,1.818,81.01,68.72,26.0,1,116,1.67,0.6383
136.05,58.88,259.81,1.901,78.91,65.3,29.01,1,83,1.96,0.8453
173.5,77.59,283.02,2.022,79.51,57.12,27.06,1,73,1.66,0.7331
240.54,63.24,167.38,1.638,91.78,74.82,24.24,0,27,1.82,0.2488
144.18,53.66,288.56,2.19,76.65,77.15,32.03,1,147,1.74,1.1121
225.24,45.35,179.41,1.555,78.42,62.49,27.87,0,7,1.61,0.8096
146.8,57.9,230.91,1.883,86.52,36.47,25.09,1,46,2.13,0.4293
234.99,47.52,199.0,1.71,83.98,52.34,25.59,0,44,1.6,0.5256
128.56,74.97,256.86,2.045,80.2,64.9,31.97,1,145,1.92,0.9399
187.78,49.79,197.16,1.556,94.19,33.46,25.29,0,37,1.77,0.1873
236.67,40.3,180.36,1.604,88.58,31.09,26.1,0,29,1.77,0.3862
177.45,54.36,291.26,1.955,83.08,82.16,27.29,1,142,1.73,0.6136
237.42,53.31,171.8,1.683,73.84,70.15,29.58,0,8,1.54,1.0835
193.33,59.34,208.33,1.803,78.32,38.42,29.64,0,37,1.43,0.9011
199.01,46.45,179.04,1.513,87.71,54.48,25.94,0,8,1.76,0.4117
200.7,58.67,193.18,1.651,75.58,40.65,28.96,0,36,1.71,0.9759
215.57,54.18,178.63,1.416,95.0,30.57,24.6,0,31,1.72,0.1547
189.37,50.6,172.29,1.471,85.35,51.54,24.69,0,25,1.8,0.4556
166.39,52.36,257.11,2.068,83.11,65.66,27.37,1,106,2.01,0.6154
192.75,52.35,200.9,1.592,77.31,82.48,29.85,0,43,1.58,0.9545
161.91,54.54,284.46,1.867,84.19,72.34,28.66,1,62,1.7,0.621
125.97,51.87,296.2,2.001,77.17,42.66,27.26,1,128,1.7,0.8265
239.84,47.54,180.47,1.705,95.0,48.49,24.68,0,11,1.77,0.1554
163.9,64.02,232.09,1.826,88.01,58.63,28.97,1,148,2.14,0.4794
219.61,58.97,197.01,1.81,89.25,40.52,25.75,0,29,1.81,0.356
146.83,62.76,259.45,2.069,73.18,75.81,30.41,1,147,1.96,1.165
185.97,62.5,197.87,1.671,83.88,39.24,27.38,0,7,1.55,0.5877
229.36,52.16,187.07,1.6,92.28,45.95,23.63,0,15,1.82,0.2253
170.8,74.61,289.98,2.21,85.38,61.77,27.87,1,121,1.69,0.5485
171.65,51.24,272.38,2.115,73.74,36.78,31.95,1,146,1.36,1.2451
157.17,61.27,284.99,1.956,77.32,64.35,29.92,1,113,1.73,0.9579
240.19,47.98,165.15,1.691,81.07,81.93,26.86,0,12,1.64,0.6694
141.54,68.16,297.46,1.912,77.07,68.03,30.46,1,140,1.68,0.9989
197.48,64.16,172.55,1.566,93.96,74.7,23.54,0,18,1.82,0.1753
189.42,42.78,191.25,1.776,74.05,54.12,26.5,0,30,1.56,0.8984
235.83,42.63,180.85,1.647,87.91,50.09,25.41,0,23,1.81,0.3924
136.92,61.72,276.95,2.079,76.47,48.07,27.3,1,102,1.66,0.8538
190.89,48.0,179.94,1.74,75.54,66.33,30.17,0,37,1.58,1.048
223.62,49.96,195.39,1.666,75.16,58.52,24.76,0,43,1.64,0.7757
141.2,67.77,280.31,1.903,76.65,55.98,31.22,1,138,1.76,1.0622
183.14,53.73,188.88,1.799,89.85,35.54,28.0,0,7,1.63,0.3837
187.47,54.58,161.94,1.662,86.05,67.04,25.31,0,20,1.79,0.4501
180.02,58.78,158.14,1.67,80.35,69.9,23.51,0,17,1.63,0.5693
127.4,67.55,269.09,2.007,86.94,40.79,28.5,1,111,1.65,0.5082
219.36,55.48,173.35,1.733,90.12,71.78,26.15,0,26,1.78,0.3351
