jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,plant_age,fase,recommendation
22,84.3,27.5,26.4,75.9,79.6,77.2,99.0,2.81,110,pematangan,3
23,82.5,27.3,24.8,74.6,78.9,78.2,97.2,2.85,110,pematangan,3
0,81.1,26.5,25.5,74.7,77.7,80.6,99.4,2.94,111,pematangan,3
1,79.6,25.8,24.5,77.1,76.0,81.0,101.5,3.01,111,pematangan,3
2,77.8,25.6,25.1,78.4,75.7,80.3,100.8,2.96,111,pematangan,3
3,77.1,26.3,24.5,83.4,77.4,83.9,104.7,2.83,111,pematangan,3
4,75.8,25.8,23.0,77.3,79.4,82.1,105.5,2.85,111,pematangan,3
5,75.4,24.6,24.6,80.3,77.5,83.2,107.7,2.9,111,pematangan,3
6,85.2,24.7,24.5,77.8,76.2,81.6,107.5,2.91,111,pematangan,3
7,82.4,25.2,27.2,74.5,76.1,80.2,109.5,3.0,111,pematangan,3
8,81.2,25.7,27.3,70.9,75.5,76.7,108.5,3.0,111,pematangan,3
9,77.8,25.2,28.3,68.5,78.0,73.7,107.9,2.9,111,pematangan,3
10,74.5,25.6,29.7,68.6,80.9,75.0,108.7,2.88,111,pematangan,3
11,72.7,26.5,29.9,67.1,80.4,74.2,107.0,2.93,111,pematangan,3
12,83.6,27.3,32.8,66.8,79.7,74.2,106.5,2.99,111,pematangan,3
13,81.9,28.9,33.7,62.3,81.7,75.5,107.7,2.87,111,pematangan,3
14,79.7,28.7,30.5,60.4,80.7,76.2,108.4,2.63,111,pematangan,3
15,90.5,28.8,31.5,65.7,80.5,74.1,108.8,2.69,111,pematangan,3
16,87.9,28.8,31.1,66.5,79.3,75.5,108.8,2.58,111,pematangan,3
17,84.8,28.7,30.2,68.8,79.7,77.5,112.2,2.62,111,pematangan,0
18,84.0,28.6,31.0,64.6,79.9,78.1,115.9,2.44,111,pematangan,0
19,83.8,28.6,30.2,72.2,75.6,78.3,118.4,2.59,111,pematangan,0
20,83.1,28.6,28.2,71.4,74.5,84.3,121.1,2.83,111,pematangan,0
21,81.6,27.3,29.2,76.5,73.9,85.3,122.3,2.76,111,pematangan,1
22,80.6,27.7,26.8,74.1,74.6,82.9,124.3,2.84,111,pematangan,0
23,79.3,27.3,25.8,78.5,71.3,83.2,121.7,2.94,111,pematangan,1
0,77.6,26.6,25.5,76.3,71.4,83.1,118.3,2.84,112,pematangan,1
1,77.0,26.5,24.2,82.3,71.6,83.5,116.8,3.01,112,pematangan,1
2,76.3,26.2,25.5,78.4,68.7,81.2,118.6,2.86,112,pematangan,1
3,74.7,25.0,24.6,77.1,70.8,82.7,119.9,2.71,112,pematangan,1
4,73.8,25.4,23.7,80.4,70.2,80.9,114.0,2.6,112,pematangan,1
5,73.7,25.1,24.1,81.6,67.7,82.5,119.9,2.46,112,pematangan,1
6,82.5,25.8,24.2,80.4,67.5,78.6,118.7,2.55,112,pematangan,1
7,80.7,25.1,26.2,75.9,66.8,77.2,113.0,2.57,112,pematangan,0
8,77.8,25.5,26.3,74.1,68.8,82.0,115.0,2.53,112,pematangan,1
9,75.8,25.1,28.7,70.6,67.5,85.2,112.3,2.61,112,pematangan,1
10,73.8,26.3,29.6,70.4,66.5,91.5,113.7,2.58,112,pematangan,1
11,71.6,27.1,31.5,67.8,66.7,92.5,113.3,2.62,112,pematangan,1
12,81.3,27.7,32.6,63.6,65.8,97.8,114.9,2.59,112,pematangan,5
13,78.8,27.7,32.6,65.8,67.9,96.0,115.7,2.58,112,pematangan,1
14,77.2,29.0,31.8,64.1,66.6,98.8,119.3,2.73,112,pematangan,1
15,88.2,28.4,31.1,66.8,65.8,97.5,119.9,2.77,112,pematangan,1
16,86.6,29.2,31.0,64.8,65.2,100.7,123.6,2.81,112,pematangan,1
17,84.3,29.1,30.7,66.8,66.2,99.3,126.7,2.82,112,pematangan,1
18,83.0,28.8,30.4,67.0,66.1,98.2,118.9,2.72,112,pematangan,1
19,82.3,28.4,28.8,66.7,64.6,96.2,114.7,2.64,112,pematangan,1
20,80.7,28.3,27.6,69.0,63.8,99.5,115.6,2.7,112,pematangan,1
21,79.5,27.8,27.7,74.9,63.9,97.0,117.3,2.62,112,pematangan,1
22,78.7,28.4,27.9,75.6,65.0,95.8,119.0,2.65,112,pematangan,1
23,77.6,27.7,27.5,74.6,62.7,92.9,122.1,2.83,112,pematangan,1
0,75.5,27.5,26.0,78.2,66.1,93.8,121.0,2.69,113,pematangan,1
1,75.0,26.4,24.0,78.5,67.3,94.6,121.0,2.47,113,pematangan,1
2,74.2,26.0,25.5,80.7,68.0,94.4,117.4,2.54,113,pematangan,1
3,72.2,25.8,23.4,79.0,69.1,92.6,122.8,2.35,113,pematangan,1
4,70.7,25.7,23.4,80.0,68.3,89.0,125.4,2.39,113,pematangan,1
5,70.6,25.3,24.6,77.4,70.8,93.0,125.2,2.38,113,pematangan,1
6,80.2,24.6,23.8,80.2,71.4,92.6,125.0,2.33,113,pematangan,1
7,77.8,24.9,26.6,76.9,68.6,93.1,122.5,2.34,113,pematangan,1
8,76.3,25.5,27.3,73.6,69.6,96.4,124.1,2.34,113,pematangan,1
9,74.2,26.6,29.0,75.0,67.9,96.4,123.7,2.23,113,pematangan,1
10,72.0,25.8,29.3,70.1,69.2,93.7,122.4,2.31,113,pematangan,1
11,68.8,26.5,31.7,68.4,69.0,96.0,123.2,2.23,113,pematangan,1
12,78.2,27.2,32.2,65.1,70.7,95.4,126.1,2.46,113,pematangan,1
13,75.9,28.6,31.7,63.1,71.4,95.2,125.6,2.39,113,pematangan,1
14,74.4,28.6,32.7,65.0,72.8,98.8,133.5,2.28,113,pematangan,1
15,85.8,28.8,29.5,64.8,72.7,98.1,126.6,2.11,113,pematangan,1
16,83.9,29.0,31.5,64.9,70.1,97.0,125.3,2.15,113,pematangan,1
17,82.7,29.0,30.6,68.8,69.6,94.7,120.8,2.17,113,pematangan,1
18,82.3,28.9,29.4,67.4,70.2,96.3,118.6,2.19,113,pematangan,1
19,80.9,28.9,29.4,70.0,71.3,100.4,124.0,2.4,113,pematangan,1
20,79.7,28.6,28.8,71.4,72.6,99.5,122.6,2.6,113,pematangan,1
21,78.4,28.4,27.0,70.1,68.7,102.0,119.4,2.69,113,pematangan,1
22,78.0,28.2,26.7,75.4,68.9,101.1,123.3,2.73,113,pematangan,1
23,76.8,27.1,26.0,77.4,70.8,101.3,127.8,2.75,113,pematangan,1
0,76.1,26.7,25.6,77.5,69.8,100.6,129.5,2.7,114,pematangan,1
1,75.1,26.2,25.7,78.9,66.6,100.5,127.8,2.73,114,pematangan,1
2,74.1,26.1,24.0,78.7,65.7,95.7,127.4,2.73,114,pematangan,1
3,73.4,26.0,25.1,78.7,65.3,92.4,128.4,2.69,114,pematangan,1
4,72.7,25.6,23.0,78.9,67.7,87.6,128.1,2.66,114,pematangan,1
5,71.4,25.2,24.5,76.3,69.4,89.2,124.6,2.68,114,pematangan,1
6,81.5,24.7,23.6,79.1,68.1,92.7,123.0,2.7,114,pematangan,1
7,80.4,24.6,26.1,73.6,66.2,93.7,125.1,2.7,114,pematangan,1
8,78.5,24.7,27.9,72.6,64.7,96.9,125.8,2.76,114,pematangan,1
9,76.3,25.2,30.3,66.9,67.4,94.9,129.8,2.95,114,pematangan,1
10,74.1,25.9,30.0,66.8,67.0,93.5,130.0,3.05,114,pematangan,1
11,72.0,27.1,30.5,66.9,67.4,96.1,130.3,2.92,114,pematangan,1
12,81.8,27.6,32.6,64.6,67.3,96.0,129.6,2.79,114,pematangan,1
13,79.3,27.4,32.0,64.1,72.0,95.5,125.6,2.75,114,pematangan,1
14,78.6,28.0,32.0,64.6,75.6,97.7,121.8,2.74,114,pematangan,0
15,87.7,28.8,32.4,61.6,74.7,97.4,116.6,2.72,114,pematangan,0
16,85.3,29.3,32.1,67.1,72.7,96.0,117.4,2.79,114,pematangan,1
17,82.0,28.9,29.3,65.9,67.9,93.0,118.2,2.69,114,pematangan,1
18,81.6,28.8,30.0,68.1,69.3,92.8,117.3,2.63,114,pematangan,1
19,80.0,28.5,29.2,70.3,70.3,89.6,119.0,2.66,114,pematangan,1
20,79.4,28.7,27.6,66.4,69.5,89.3,120.8,2.58,114,pematangan,1
21,78.0,28.1,26.3,75.4,67.8,89.8,122.6,2.7,114,pematangan,1
22,76.5,27.6,26.7,73.9,69.5,93.2,127.9,2.71,114,pematangan,1
23,74.9,26.7,25.6,77.0,72.3,94.6,131.2,2.59,114,pematangan,1
0,73.6,26.9,24.7,76.7,69.5,93.6,129.1,2.42,115,pematangan,1
1,72.7,26.2,24.7,77.4,70.6,96.5,127.7,2.61,115,pematangan,1
2,72.0,26.1,24.1,81.7,73.0,94.2,127.1,2.51,115,pematangan,6
3,70.3,25.0,24.1,77.7,73.8,94.0,128.0,2.49,115,pematangan,7
4,69.4,26.0,25.3,80.5,74.1,90.4,127.3,2.54,115,pematangan,0
5,69.1,25.2,24.2,78.6,71.0,87.0,125.4,2.5,115,pematangan,1
6,79.5,25.5,26.4,79.1,72.8,85.5,121.5,2.52,115,pematangan,1
7,77.5,25.3,27.0,77.6,71.3,81.1,124.6,2.6,115,pematangan,1
8,75.2,25.4,28.1,74.6,72.6,82.0,124.1,2.52,115,pematangan,1
9,72.7,25.3,28.1,71.6,72.1,82.9,125.5,2.54,115,pematangan,6
10,69.9,25.7,29.8,66.9,76.0,82.1,121.6,2.48,115,pematangan,0
11,69.4,26.1,30.3,65.4,72.7,86.1,118.7,2.46,115,pematangan,1
12,79.7,27.6,32.1,65.1,72.9,89.2,118.1,2.51,115,pematangan,1
13,77.2,28.1,31.9,66.2,76.1,88.2,117.8,2.55,115,pematangan,0
14,73.7,28.8,32.3,65.0,77.8,90.2,117.5,2.49,115,pematangan,0
15,83.1,28.5,31.9,64.3,76.5,93.8,118.6,2.49,115,pematangan,0
16,80.9,29.0,31.4,65.9,74.8,94.9,118.9,2.43,115,pematangan,0
17,78.4,28.5,30.4,68.3,74.6,95.6,122.2,2.58,115,pematangan,0
18,77.2,28.1,29.2,68.8,74.2,94.2,122.5,2.53,115,pematangan,0
19,77.0,28.6,28.9,71.1,74.9,92.5,117.1,2.63,115,pematangan,0
20,74.8,27.8,29.0,70.4,72.4,89.1,117.6,2.46,115,pematangan,1
21,74.6,29.4,27.5,74.5,74.2,91.6,118.6,2.45,115,pematangan,0
22,73.3,27.8,26.7,73.8,73.3,89.3,117.9,2.81,115,pematangan,1
23,73.1,27.7,26.7,76.2,73.3,90.2,114.0,2.75,115,pematangan,1
0,71.5,27.2,25.7,78.4,73.6,89.4,111.8,2.81,116,pematangan,1
1,70.4,26.5,23.6,76.1,72.7,87.3,111.4,2.71,116,pematangan,1
2,69.7,25.6,24.3,78.9,70.4,89.8,112.9,2.76,116,pematangan,1
3,69.5,25.8,23.4,80.3,71.7,93.9,109.9,2.71,116,pematangan,5
4,69.1,26.1,24.0,80.3,67.7,92.2,107.9,2.86,116,pematangan,5
5,67.9,24.8,24.6,81.0,70.4,89.5,106.8,2.88,116,pematangan,5
6,78.3,25.5,25.3,73.9,70.3,89.3,109.2,2.91,116,pematangan,5
7,77.1,24.9,27.3,73.0,71.0,92.4,111.0,2.97,116,pematangan,1
8,74.9,25.5,26.9,75.2,68.9,94.6,111.4,2.82,116,pematangan,1
9,73.1,25.2,28.5,71.9,66.3,94.4,113.3,2.96,116,pematangan,1
10,70.2,26.4,30.5,71.5,64.6,95.9,114.3,2.81,116,pematangan,1
11,68.4,27.2,31.8,65.7,68.2,93.7,111.0,2.81,116,pematangan,4
12,78.6,27.3,30.9,66.6,67.8,92.6,107.9,2.82,116,pematangan,5
13,76.9,28.0,32.5,68.0,68.6,92.7,105.2,3.0,116,pematangan,5
14,75.0,28.8,32.4,60.1,69.1,96.1,102.5,3.08,116,pematangan,5
15,86.1,29.1,31.5,61.7,70.4,96.1,103.9,3.04,116,pematangan,5
16,84.5,29.6,31.0,64.6,72.0,95.8,103.7,3.04,116,pematangan,5
17,82.7,28.9,31.3,64.1,73.0,97.2,101.0,2.77,116,pematangan,5
18,81.0,28.8,30.3,70.7,74.8,97.0,104.7,2.72,116,pematangan,3
19,78.6,28.7,29.6,69.0,75.9,94.2,106.3,2.63,116,pematangan,3
20,78.9,28.5,27.8,69.9,76.8,92.5,106.7,2.56,116,pematangan,3
21,77.3,27.4,26.2,75.1,76.7,96.7,112.7,2.49,116,pematangan,0
22,76.0,27.9,26.7,75.6,75.3,96.0,113.1,2.42,116,pematangan,0
23,75.7,27.7,25.8,75.0,75.3,98.8,112.1,2.47,116,pematangan,0
0,74.3,26.9,25.7,78.6,77.5,97.4,111.9,2.53,117,pematangan,0
1,73.3,26.5,24.2,76.8,78.2,96.6,111.7,2.49,117,pematangan,0
2,72.3,25.8,24.9,78.1,80.1,98.1,111.7,2.39,117,pematangan,0
3,70.6,25.8,24.4,81.9,79.1,93.3,107.0,2.51,117,pematangan,3
4,70.0,25.3,23.4,78.5,81.1,94.3,103.5,2.66,117,pematangan,6
5,68.6,25.2,25.0,78.6,76.7,91.8,103.3,2.54,117,pematangan,3
6,78.9,24.8,24.7,77.3,77.1,88.0,103.6,2.53,117,pematangan,3
7,76.6,25.2,25.4,75.0,74.8,87.7,107.7,2.45,117,pematangan,3
8,74.0,25.6,27.5,68.8,74.2,88.7,106.6,2.6,117,pematangan,3
9,71.4,25.3,28.7,67.8,71.8,91.1,108.0,2.61,117,pematangan,5
10,69.8,26.1,29.3,68.3,70.0,90.5,109.3,2.84,117,pematangan,5
11,66.7,27.1,31.6,68.3,71.4,86.9,112.0,2.82,117,pematangan,1
12,75.9,27.3,31.8,65.7,71.5,85.0,112.3,2.72,117,pematangan,1
13,74.1,27.6,31.4,63.1,74.6,85.1,110.4,2.71,117,pematangan,3
14,72.0,28.8,30.5,63.9,75.1,84.0,108.5,2.68,117,pematangan,3
15,82.2,28.8,32.0,61.7,74.5,81.0,106.8,2.75,117,pematangan,3
16,79.7,29.1,31.3,65.1,76.9,77.4,104.5,2.75,117,pematangan,3
17,77.1,28.9,30.8,66.2,78.0,77.4,105.1,2.76,117,pematangan,3
18,76.9,29.0,31.1,66.9,78.9,79.4,103.0,2.7,117,pematangan,3
19,77.0,28.6,27.2,70.6,79.1,80.2,102.3,2.66,117,pematangan,3
20,76.3,28.1,29.4,71.9,75.6,76.4,100.5,2.58,117,pematangan,3
21,75.9,28.4,28.7,73.8,77.0,77.8,104.1,2.8,117,pematangan,3
22,75.0,27.5,26.0,78.4,75.9,78.1,104.1,2.75,117,pematangan,3
23,73.5,27.5,26.8,77.0,79.4,74.5,103.2,2.79,117,pematangan,3
0,73.2,27.5,24.7,73.8,79.7,78.2,102.9,2.81,118,pematangan,3
1,72.0,26.1,23.9,76.0,79.5,78.4,102.1,2.73,118,pematangan,3
2,71.1,25.9,24.3,79.2,77.7,77.1,104.1,2.58,118,pematangan,3
3,70.0,25.7,25.5,78.2,82.1,73.2,105.6,2.57,118,pematangan,3
4,67.3,25.3,24.3,79.5,80.6,71.3,103.3,2.38,118,pematangan,3
5,65.6,25.4,24.3,82.1,81.2,72.6,105.6,2.27,118,pematangan,3
6,75.2,24.6,25.6,78.3,80.2,76.1,104.2,2.15,118,pematangan,3
7,73.9,24.6,25.5,73.8,78.0,75.0,101.7,2.28,118,pematangan,3
8,71.7,24.9,28.5,76.0,75.6,78.2,99.4,2.3,118,pematangan,3
9,70.4,25.6,30.0,70.2,75.5,77.8,100.8,2.18,118,pematangan,3
10,68.9,26.2,30.3,67.9,75.0,75.4,102.2,2.1,118,pematangan,3
11,66.7,26.9,30.4,66.3,76.2,79.7,100.3,2.04,118,pematangan,3
12,76.5,27.2,32.6,65.4,75.2,81.3,101.6,1.96,118,pematangan,3
13,74.3,27.3,32.2,62.7,71.9,80.8,100.6,1.85,118,pematangan,5
14,71.9,28.8,32.4,64.3,68.1,78.3,100.6,1.8,118,pematangan,5
15,82.2,28.6,32.6,66.9,66.5,76.3,101.0,1.76,118,pematangan,5
16,81.1,29.1,31.6,67.7,68.2,77.8,99.9,1.94,118,pematangan,5
17,78.3,28.9,30.0,65.2,70.8,77.2,97.9,2.09,118,pematangan,5
18,76.7,28.4,31.2,68.0,70.3,79.9,104.4,2.14,118,pematangan,5
19,76.0,28.8,29.5,72.3,68.7,80.8,105.0,2.16,118,pematangan,5
20,75.5,28.4,28.7,70.7,68.9,84.3,108.3,2.1,118,pematangan,5
21,74.7,28.3,28.1,70.4,70.6,82.9,108.6,2.17,118,pematangan,9
22,74.0,27.7,27.0,73.3,72.2,86.0,106.4,2.18,118,pematangan,5
23,72.6,28.0,26.6,77.1,72.2,86.4,112.5,2.13,118,pematangan,1
0,71.8,26.5,25.5,77.2,71.7,85.7,114.2,2.02,119,pematangan,1
1,70.3,27.2,24.6,78.5,70.6,83.9,113.9,2.17,119,pematangan,1
2,71.0,26.7,23.9,79.8,73.1,84.4,116.3,2.16,119,pematangan,1
3,70.5,25.5,23.7,79.3,75.5,87.6,120.1,1.98,119,pematangan,0
4,68.8,24.9,23.8,80.9,73.5,81.6,123.0,2.01,119,pematangan,1
5,68.5,25.0,25.0,81.9,72.4,80.7,122.5,2.04,119,pematangan,1
6,78.1,24.9,24.7,78.9,73.7,78.7,123.8,2.13,119,pematangan,1
7,75.4,25.2,25.9,76.9,70.4,80.5,121.9,2.2,119,pematangan,7
8,73.1,25.4,27.2,75.4,67.6,80.4,126.4,2.49,119,pematangan,1
9,70.8,25.7,29.1,71.9,69.9,83.9,129.3,2.58,119,pematangan,6
10,69.3,25.3,30.5,70.0,72.1,84.0,124.5,2.4,119,pematangan,1
11,67.9,25.9,32.6,62.2,72.0,86.9,127.5,2.3,119,pematangan,1
12,77.6,27.4,30.6,64.5,70.9,88.9,129.7,2.32,119,pematangan,1
13,75.1,28.5,31.8,64.7,69.8,83.5,132.6,2.31,119,pematangan,1
14,73.3,28.6,32.4,63.9,68.3,84.9,130.0,2.3,119,pematangan,1
15,83.1,29.6,30.3,63.2,64.8,89.2,131.5,2.24,119,pematangan,1
16,81.5,28.6,32.6,65.3,63.6,92.0,129.1,2.15,119,pematangan,1
17,80.6,29.0,30.6,65.3,62.6,91.0,131.2,2.04,119,pematangan,1
18,78.8,29.3,29.4,68.6,66.7,89.8,130.0,2.2,119,pematangan,1
19,77.8,28.7,30.0,70.7,67.1,88.1,131.9,2.16,119,pematangan,1
20,76.3,28.9,26.7,70.7,67.4,85.5,129.3,2.23,119,pematangan,1
21,75.3,28.4,27.8,74.8,69.4,88.3,130.6,2.14,119,pematangan,1
22,74.5,27.5,26.0,73.5,70.5,88.4,128.1,1.99,119,pematangan,1
23,74.2,27.1,26.0,74.9,67.7,89.0,122.9,1.81,119,pematangan,1
0,72.7,26.2,25.6,77.5,66.7,91.9,122.2,1.86,120,pematangan,1
1,70.6,26.4,25.4,77.8,68.1,92.7,126.7,2.16,120,pematangan,1
2,70.4,26.8,24.7,81.1,68.2,93.8,124.1,2.26,120,pematangan,1
3,68.6,25.0,25.8,79.5,64.9,93.2,126.6,2.29,120,pematangan,3
4,67.0,25.3,24.0,81.0,69.6,91.2,125.1,2.23,120,pematangan,6
5,66.1,25.6,24.0,81.2,66.5,96.0,121.4,2.45,120,pematangan,1
6,77.0,25.2,25.9,75.2,65.3,96.2,122.2,2.48,120,pematangan,1
7,75.3,24.3,25.9,75.9,71.8,93.5,122.8,2.54,120,pematangan,1
8,72.9,25.1,27.6,73.6,72.6,95.0,122.2,2.59,120,pematangan,6
9,70.5,25.7,25.5,67.3,69.8,91.9,118.2,2.48,120,pematangan,1
10,68.7,26.1,30.4,68.1,70.2,96.5,120.7,2.55,120,pematangan,1
11,67.6,26.5,31.0,65.5,70.9,94.4,117.1,2.41,120,pematangan,1
12,76.7,27.4,31.4,61.9,71.5,97.5,118.3,2.45,120,pematangan,1
13,74.7,28.6,31.5,66.4,71.8,97.1,120.1,2.44,120,pematangan,1
14,73.4,28.2,32.6,64.4,74.5,95.3,119.5,2.35,120,pematangan,0
15,83.0,29.5,30.0,60.6,73.7,95.7,121.5,2.27,120,pematangan,1
16,80.2,28.8,33.8,64.7,70.3,89.9,122.6,2.24,120,pematangan,1
17,77.9,29.0,31.6,66.1,70.1,93.0,122.5,2.3,120,pematangan,1
18,76.8,28.8,30.3,67.8,74.5,91.4,125.4,2.08,120,pematangan,0
19,76.3,29.0,30.8,68.2,74.4,90.3,119.8,2.19,120,pematangan,0
20,75.4,28.9,28.6,69.2,77.3,91.2,118.3,2.22,120,pematangan,0
21,73.7,27.9,26.9,73.3,76.7,89.3,118.6,2.28,120,pematangan,0
22,73.1,26.9,27.6,72.7,76.1,89.8,121.2,2.25,120,pematangan,2
23,70.7,27.0,24.7,77.7,76.8,88.9,122.1,2.33,120,pematangan,0
0,69.9,26.2,25.8,78.2,74.1,87.2,122.4,2.37,121,pematangan,0
1,69.8,25.6,25.7,78.9,78.1,89.5,117.5,2.36,121,pematangan,0
2,68.8,25.8,24.8,78.3,76.5,91.6,114.9,2.26,121,pematangan,0
3,66.8,25.5,22.9,80.0,76.8,93.2,117.9,2.17,121,pematangan,0
4,65.5,25.3,24.2,80.1,73.8,95.6,120.3,2.18,121,pematangan,1
5,63.4,24.5,24.1,79.8,72.4,96.5,117.7,2.24,121,pematangan,1
6,73.2,25.3,24.3,75.2,75.3,96.7,120.4,2.45,121,pematangan,0
7,71.1,25.7,24.2,76.0,73.5,97.7,118.7,2.28,121,pematangan,1
8,69.6,25.0,26.4,69.3,72.8,98.8,118.2,2.16,121,pematangan,1
9,67.7,26.2,28.3,70.8,69.6,96.7,123.6,2.14,121,pematangan,1
10,65.7,25.3,30.9,72.4,68.0,96.6,118.8,2.26,121,pematangan,1
11,64.3,27.0,33.3,64.1,69.3,96.9,121.2,2.24,121,pematangan,1
12,73.8,27.7,32.4,63.0,66.8,94.8,120.6,2.21,121,pematangan,1
13,72.5,28.0,31.4,65.5,64.2,96.3,123.0,2.18,121,pematangan,1
14,71.1,28.6,31.6,62.7,65.4,96.4,122.8,2.25,121,pematangan,1
15,81.6,29.0,32.5,62.8,64.7,94.9,121.7,2.32,121,pematangan,1
16,80.1,28.6,31.7,65.1,63.0,96.4,124.1,2.18,121,pematangan,1
17,78.6,28.4,31.0,66.9,64.6,94.0,121.6,2.32,121,pematangan,1
18,77.8,29.2,30.2,69.6,66.8,87.8,119.9,2.25,121,pematangan,1
19,77.3,28.8,30.2,68.7,66.5,93.9,122.3,2.35,121,pematangan,1
20,75.9,28.5,30.2,70.1,66.3,95.4,123.2,2.31,121,pematangan,1
21,75.2,27.9,27.6,72.4,66.9,97.5,120.4,2.31,121,pematangan,3
22,75.0,27.3,26.9,73.2,67.1,97.8,120.9,2.19,121,pematangan,1
23,74.1,26.8,26.4,76.5,65.9,96.7,114.2,2.31,121,pematangan,1
0,72.6,26.2,25.0,79.8,67.8,96.6,110.6,2.23,122,pematangan,5
1,70.8,26.0,23.0,77.0,68.1,94.8,114.9,2.11,122,pematangan,1
2,69.9,26.2,24.7,77.2,71.3,95.6,111.6,2.12,122,pematangan,1
3,69.1,25.9,23.5,79.7,68.2,99.0,112.1,2.12,122,pematangan,1
4,67.9,25.3,25.1,79.0,71.2,97.2,112.6,1.99,122,pematangan,1
5,66.9,25.8,24.4,76.9,72.5,93.4,116.8,1.87,122,pematangan,1
6,77.1,24.8,26.1,75.7,73.2,91.8,115.8,2.01,122,pematangan,1
7,74.9,25.1,25.3,72.7,72.1,92.0,119.2,2.07,122,pematangan,1
8,73.6,25.8,28.2,73.3,72.2,91.0,118.0,2.11,122,pematangan,1
9,71.1,26.2,27.4,69.3,72.5,92.4,119.2,2.31,122,pematangan,1
10,70.4,26.6,30.8,71.2,75.2,94.7,118.4,2.27,122,pematangan,0
11,68.9,27.2,30.9,66.6,77.3,94.6,124.4,2.14,122,pematangan,0
12,79.6,27.0,32.5,62.6,78.0,97.7,122.0,2.19,122,pematangan,0
13,76.5,27.9,31.7,62.0,76.6,100.0,121.9,2.04,122,pematangan,0
14,74.1,28.3,32.5,63.3,75.9,101.5,120.3,1.93,122,pematangan,0
15,84.7,29.5,32.1,62.2,75.6,97.6,116.5,2.07,122,pematangan,0
16,83.5,28.5,31.5,65.4,75.7,97.9,120.3,2.23,122,pematangan,0
17,81.3,28.8,31.0,68.6,75.0,98.6,127.5,2.28,122,pematangan,0
18,80.5,28.6,31.3,67.4,76.9,94.2,126.5,2.35,122,pematangan,0
19,80.3,28.3,28.8,68.3,74.3,93.0,127.1,2.43,122,pematangan,0
20,79.9,28.0,29.5,67.6,75.7,95.0,128.1,2.47,122,pematangan,0
21,77.7,28.7,27.3,70.2,72.9,90.9,131.9,2.41,122,pematangan,1
22,77.0,27.9,27.7,74.6,69.7,93.6,131.9,2.42,122,pematangan,1
23,76.5,27.3,27.9,75.8,69.0,94.1,128.4,2.57,122,pematangan,1
0,75.0,26.3,24.7,77.7,70.5,95.0,128.6,2.56,123,pematangan,1
1,73.6,26.2,23.0,75.9,70.7,98.0,124.2,2.62,123,pematangan,1
2,72.4,26.1,24.5,80.9,68.2,97.4,121.7,2.5,123,pematangan,1
3,70.7,25.6,23.5,78.9,69.6,95.4,122.7,2.4,123,pematangan,1
4,69.3,25.3,23.6,76.7,68.5,92.7,123.6,2.54,123,pematangan,1
5,69.1,25.0,24.0,77.5,68.6,91.4,122.7,2.44,123,pematangan,1
6,77.8,25.2,24.5,77.0,68.3,92.7,120.8,2.48,123,pematangan,1
7,75.2,25.1,27.1,75.9,68.0,89.7,120.9,2.42,123,pematangan,1
8,73.0,25.4,28.2,70.4,69.1,91.3,118.2,2.28,123,pematangan,1
9,71.4,25.9,29.6,72.2,68.8,91.3,121.0,2.36,123,pematangan,1
10,68.2,26.3,31.8,68.0,64.4,91.5,120.8,2.34,123,pematangan,3
11,65.1,26.5,30.4,67.4,65.2,91.3,120.5,2.41,123,pematangan,7
12,74.1,27.4,29.8,67.1,66.7,93.4,120.1,2.57,123,pematangan,0
13,72.1,26.9,33.6,63.5,67.2,94.0,123.6,2.41,123,pematangan,1
14,70.7,28.3,32.1,63.0,67.1,92.1,119.2,2.41,123,pematangan,1
15,80.5,29.2,31.6,65.7,69.8,91.4,119.6,2.43,123,pematangan,1
16,79.0,29.0,29.8,62.4,71.2,92.4,117.7,2.49,123,pematangan,1
17,76.7,28.5,29.6,68.6,69.9,89.4,117.0,2.45,123,pematangan,1
18,76.2,28.4,30.6,67.9,72.7,91.3,116.2,2.39,123,pematangan,1
19,75.6,28.5,29.1,68.8,69.9,89.0,116.6,2.31,123,pematangan,1
20,74.8,28.1,26.7,69.1,73.7,90.1,116.2,2.32,123,pematangan,1
21,73.2,27.7,26.8,70.5,72.7,87.4,117.7,2.36,123,pematangan,1
22,72.1,28.0,27.6,73.9,73.0,87.7,116.3,2.34,123,pematangan,1
23,71.5,27.8,27.0,76.8,71.1,88.4,119.0,2.47,123,pematangan,1
0,70.1,27.0,25.5,77.3,70.5,86.6,112.6,2.37,124,pematangan,1
1,69.6,26.0,27.0,74.3,69.4,87.1,113.7,2.45,124,pematangan,1
2,69.6,26.7,25.2,78.1,74.2,85.7,111.3,2.45,124,pematangan,0
3,69.1,26.2,25.5,80.7,75.7,87.3,110.5,2.58,124,pematangan,3
4,68.9,25.4,25.1,83.3,74.5,89.1,109.4,2.6,124,pematangan,3
5,68.6,25.5,24.9,79.2,75.5,92.0,106.8,2.65,124,pematangan,3
6,79.5,24.7,23.9,78.8,72.9,91.7,106.6,2.59,124,pematangan,5
7,77.8,24.6,24.7,76.0,71.8,90.2,108.5,2.5,124,pematangan,5
8,76.4,25.8,26.7,72.7,72.5,89.2,107.8,2.58,124,pematangan,5
9,74.6,25.7,28.9,68.5,73.4,89.5,110.5,2.72,124,pematangan,5
